"muscles_p1-final.Label-Analysis"
"Volume3d","Area3d","Length3d","index"
0,0,-inf,1
0.0491863,1.66857,3.19175,2
0.0846209,2.53825,3.70383,3
0,0,-inf,4
0,0,-inf,5
0.108701,2.66503,3.31167,6
0,0,-inf,7
0.0507842,1.5921,3.09867,8
0.0730329,2.18009,3.23476,9
0.0670902,1.88673,2.97503,10
0.0776051,2.07881,3.27585,11
0.0604827,1.96721,2.69213,12
0.134659,3.14454,3.99764,13
0.111069,3.23504,4.09072,14
0.074141,2.1997,3.33677,15
0,0,-inf,16
0,0,-inf,17
0,0,-inf,18
0.0778093,2.45999,3.65921,19
0,0,-inf,20
0,0,-inf,21
0,0,-inf,22
0,0,-inf,23
0.0866388,2.29122,3.8543,24
0.0408292,1.34392,2.56068,25
0,0,-inf,26
0.0497111,1.8267,2.8048,27
0.0530936,1.55352,2.63109,28
0.100075,2.94546,2.77617,29
0.102292,2.20399,2.61144,30
0,0,-inf,31
0,0,-inf,32
0,0,-inf,33
0,0,-inf,34
0.0577358,1.47094,2.3356,35
0.0543708,1.46963,2.43588,36
0,0,-inf,37
0,0,-inf,38
0,0,-inf,39
0,0,-inf,40
0,0,-inf,41
0,0,-inf,42
0,0,-inf,43
0,0,-inf,44
0,0,-inf,45
0,0,-inf,46
0,0,-inf,47
0,0,-inf,48
0,0,-inf,49
0,0,-inf,50
0,0,-inf,51
0,0,-inf,52
0,0,-inf,53
0,0,-inf,54
0,0,-inf,55
0,0,-inf,56
0,0,-inf,57
0,0,-inf,58
0,0,-inf,59
0,0,-inf,60
0,0,-inf,61
0,0,-inf,62
0,0,-inf,63
0,0,-inf,64
0,0,-inf,65
0,0,-inf,66
0.0289846,1.03301,1.96994,67
0,0,-inf,68
0,0,-inf,69
0,0,-inf,70
0,0,-inf,71
0,0,-inf,72
0,0,-inf,73
0,0,-inf,74
0.0179273,0.719518,1.7593,75
0.0341166,1.23602,1.6894,76
0.028658,0.896657,1.67184,77
0.0274391,0.799505,1.42545,78
0.0237242,0.775612,1.42536,79
0.0298885,0.904926,1.56954,80
0.0346707,1.1782,1.74703,81
0.0371667,0.968926,1.50753,82
0.0308858,0.886101,1.66396,83
0.0656847,1.72005,1.81257,84
0.0383623,0.990334,1.60366,85
0.0464103,1.1791,1.87174,86
0.031778,1.05736,2.15297,87
0.0386714,1.22352,2.16549,88
0.0457863,1.21647,2.06162,89
0.103989,2.57887,2.50039,90
0.0367468,1.17319,2.08245,91
0.0355746,1.03263,2.02565,92
0.041978,1.1444,1.83952,93
0.0434768,1.31707,2.29758,94
0.0222429,0.739817,1.59505,95
0.0292995,0.905988,1.65796,96
0.0382165,1.50656,2.04895,97
0.0349156,1.26642,2.30697,98
0.033201,1.14551,1.48274,99
0.019846,0.652793,1.33374,100
0.00839211,0.366117,1.06691,101
0,0,-inf,102
0.00580274,0.26504,0.827951,103
0.0172858,0.636543,1.40494,104
0.0527087,1.54631,1.80543,105
0.0383448,1.14065,1.75889,106
0.0160261,0.603375,1.32009,107
0.0332885,1.19796,1.31468,108
0.034,1.00184,1.8001,109
0.0429286,1.22027,1.92368,110
0.0555664,1.4028,2.00969,111
0.0315681,1.03765,2.26037,112
0.0764737,1.97147,2.80132,113
0.0524055,1.51254,2.37136,114
0.00303842,0.143485,0.454937,115
0.0359653,1.24564,2.28181,116
0.0397619,1.33291,2.47355,117
0.0479557,1.39534,2.61144,118
0.0404617,1.30509,2.57389,119
0.0726189,1.96907,2.58095,120
0.0325479,1.0711,2.27109,121
0.0253163,0.949988,2.22635,122
0.0333643,0.968401,1.76195,123
0.0260161,0.939367,1.96001,124
0.0297194,1.0026,2.0276,125
0.0194319,0.731099,1.71234,126
0.0252171,0.798974,1.529,127
0.0275616,1.00872,1.64251,128
0.0340641,1.204,2.06701,129
0.0710209,2.32466,2.61324,130
0.0102467,0.469741,1.35603,131
0.118627,2.97567,2.74759,132
0,0,-inf,133
0.0521022,1.62825,2.19957,134
0,0,-inf,135
0.0323729,1.10449,2.23893,136
0.0226569,0.955376,2.37114,137
0.0256079,0.968969,2.36969,138
0.0325245,1.12785,2.37418,139
0.0656964,1.83233,2.78156,140
0.0413948,1.39523,2.72968,141
0.0201434,0.804209,1.80543,142
0.0230185,0.945701,2.15477,143
0.0260744,1.03758,2.39299,144
0.0577417,2.2168,2.80677,145
0.0315156,1.13699,2.07953,146
0.0184521,0.750285,1.9595,147
0.00512624,0.291275,1.14341,148
0.0106257,0.490369,1.47295,149
0.0199043,0.701032,1.47233,150
0.0152563,0.564922,1.23771,151
0.00815883,0.390925,1.22684,152
0.00556364,0.262108,0.851693,153
0.00767478,0.341101,1.01224,154
0.00687581,0.317213,0.971216,155
0.00707993,0.331178,1.00762,156
0.00647341,0.305824,1.04538,157
