"muscles_p1-final.Label-Analysis"
"Volume3d","Breadth3d","FeretShape3d","Length3d","Thickness3d","Width3d","Area3d","index"
0,0,nan,-inf,0,-inf,0,1
0.0491863,0.29291,8.26003,3.19175,0.199082,0.38456,1.66857,2
0.0846209,0.479875,5.66177,3.70383,0.237652,0.651053,2.53825,3
0,0,nan,-inf,0,-inf,0,4
0,0,nan,-inf,0,-inf,0,5
0.108701,0.43824,6.8231,3.31167,0.270782,0.483039,2.66503,6
0,0,nan,-inf,0,-inf,0,7
0.0507842,0.296047,7.30359,3.09867,0.186869,0.416286,1.5921,8
0.0730329,0.562436,5.71807,3.23476,0.25874,0.563001,2.18009,9
0.0670902,0.334125,8.41045,2.97503,0.245389,0.353067,1.88673,10
0.0776051,0.301132,7.00657,3.27585,0.194351,0.465302,2.07881,11
0.0604827,0.562576,5.63664,2.69213,0.268722,0.468628,1.96721,12
0.134659,0.518237,8.13245,3.99764,0.283287,0.490644,3.14454,13
0.111069,0.489206,8.5423,4.09072,0.325228,0.47798,3.23504,14
0.074141,0.400152,7.11375,3.33677,0.194605,0.466815,2.1997,15
0,0,nan,-inf,0,-inf,0,16
0,0,nan,-inf,0,-inf,0,17
0,0,nan,-inf,0,-inf,0,18
0.0778093,0.422514,8.30921,3.65921,0.226287,0.438273,2.45999,19
0,0,nan,-inf,0,-inf,0,20
0,0,nan,-inf,0,-inf,0,21
0,0,nan,-inf,0,-inf,0,22
0,0,nan,-inf,0,-inf,0,23
0.0866388,0.325269,10.2132,3.8543,0.20911,0.376675,2.29122,24
0.0408292,0.264313,8.2825,2.56068,0.231831,0.306669,1.34392,25
0,0,nan,-inf,0,-inf,0,26
0.0497111,0.467624,5.73662,2.8048,0.237652,0.484367,1.8267,27
0.0530936,0.282317,6.4735,2.63109,0.277895,0.405678,1.55352,28
0.100075,0.482793,5.60373,2.77617,0.290552,0.494484,2.94546,29
0.102292,0.384692,5.17891,2.61144,0.317423,0.5033,2.20399,30
0,0,nan,-inf,0,-inf,0,31
0,0,nan,-inf,0,-inf,0,32
0,0,nan,-inf,0,-inf,0,33
0,0,nan,-inf,0,-inf,0,34
0.0577358,0.301081,7.00437,2.3356,0.258035,0.332824,1.47094,35
0.0543708,0.350187,5.92272,2.43588,0.204535,0.410505,1.46963,36
0,0,nan,-inf,0,-inf,0,37
0,0,nan,-inf,0,-inf,0,38
0,0,nan,-inf,0,-inf,0,39
0,0,nan,-inf,0,-inf,0,40
0,0,nan,-inf,0,-inf,0,41
0,0,nan,-inf,0,-inf,0,42
0,0,nan,-inf,0,-inf,0,43
0,0,nan,-inf,0,-inf,0,44
0,0,nan,-inf,0,-inf,0,45
0,0,nan,-inf,0,-inf,0,46
0,0,nan,-inf,0,-inf,0,47
0,0,nan,-inf,0,-inf,0,48
0,0,nan,-inf,0,-inf,0,49
0,0,nan,-inf,0,-inf,0,50
0,0,nan,-inf,0,-inf,0,51
0,0,nan,-inf,0,-inf,0,52
0,0,nan,-inf,0,-inf,0,53
0,0,nan,-inf,0,-inf,0,54
0,0,nan,-inf,0,-inf,0,55
0,0,nan,-inf,0,-inf,0,56
0,0,nan,-inf,0,-inf,0,57
0,0,nan,-inf,0,-inf,0,58
0,0,nan,-inf,0,-inf,0,59
0,0,nan,-inf,0,-inf,0,60
0,0,nan,-inf,0,-inf,0,61
0,0,nan,-inf,0,-inf,0,62
0,0,nan,-inf,0,-inf,0,63
0,0,nan,-inf,0,-inf,0,64
0,0,nan,-inf,0,-inf,0,65
0,0,nan,-inf,0,-inf,0,66
0.0289846,0.408279,4.719,1.96994,0.214282,0.412723,1.03301,67
0,0,nan,-inf,0,-inf,0,68
0,0,nan,-inf,0,-inf,0,69
0,0,nan,-inf,0,-inf,0,70
0,0,nan,-inf,0,-inf,0,71
0,0,nan,-inf,0,-inf,0,72
0,0,nan,-inf,0,-inf,0,73
0,0,nan,-inf,0,-inf,0,74
0.0179273,0.243884,5.04902,1.7593,0.192876,0.348412,0.719518,75
0.0341166,0.311279,5.41449,1.6894,0.244446,0.311282,1.23602,76
0.028658,0.28498,5.43437,1.67184,0.187558,0.304159,0.896657,77
0.0274391,0.285,5.37132,1.42545,0.217625,0.258291,0.799505,78
0.0237242,0.314555,4.5212,1.42536,0.227457,0.315234,0.775612,79
0.0298885,0.276913,4.35477,1.56954,0.226176,0.356338,0.904926,80
0.0346707,0.40487,4.70067,1.74703,0.251992,0.369736,1.1782,81
0.0371667,0.292813,4.24159,1.50753,0.201836,0.354583,0.968926,82
0.0308858,0.311448,6.22459,1.66396,0.204719,0.266693,0.886101,83
0.0656847,0.631755,6.0923,1.81257,0.272638,0.295133,1.72005,84
0.0383623,0.283169,5.22824,1.60366,0.252439,0.306011,0.990334,85
0.0464103,0.292299,5.93712,1.87174,0.264772,0.310429,1.1791,86
0.031778,0.242353,6.95656,2.15297,0.227496,0.308907,1.05736,87
0.0386714,0.28823,6.96261,2.16549,0.245253,0.310434,1.22352,88
0.0457863,0.284897,5.66541,2.06162,0.193012,0.363214,1.21647,89
0.103989,0.421702,5.92233,2.50039,0.334064,0.421405,2.57887,90
0.0367468,0.347121,6.78301,2.08245,0.204458,0.300214,1.17319,91
0.0355746,0.257949,6.29851,2.02565,0.207629,0.312707,1.03263,92
0.041978,0.319343,6.32257,1.83952,0.194346,0.285905,1.1444,93
0.0434768,0.289083,4.72807,2.29758,0.193138,0.474782,1.31707,94
0.0222429,0.247013,6.46585,1.59505,0.181222,0.243896,0.739817,95
0.0292995,0.296456,5.32841,1.65796,0.161195,0.311128,0.905988,96
0.0382165,0.522786,5.55225,2.04895,0.271106,0.364853,1.50656,97
0.0349156,0.390808,7.36906,2.30697,0.182032,0.312475,1.26642,98
0.033201,0.382505,3.57904,1.48274,0.258581,0.403927,1.14551,99
0.019846,0.262848,5.31904,1.33374,0.202873,0.249452,0.652793,100
0.00839211,0.188806,4.49321,1.06691,0.14164,0.231995,0.366117,101
0,0,nan,-inf,0,-inf,0,102
0.00580274,0.183662,4.39729,0.827951,0.159841,0.18827,0.26504,103
0.0172858,0.365662,5.64296,1.40494,0.187535,0.246154,0.636543,104
0.0527087,0.573618,5.33231,1.80543,0.208605,0.336964,1.54631,105
0.0383448,0.346907,5.50488,1.75889,0.210859,0.313505,1.14065,106
0.0160261,0.248443,6.79561,1.32009,0.13298,0.19424,0.603375,107
0.0332885,0.429793,4.50445,1.31468,0.234418,0.286371,1.19796,108
0.034,0.352359,5.03738,1.8001,0.222592,0.356679,1.00184,109
0.0429286,0.308066,5.09285,1.92368,0.260994,0.370616,1.22027,110
0.0555664,0.325162,4.88456,2.00969,0.278024,0.403699,1.4028,111
0.0315681,0.279256,6.21063,2.26037,0.170157,0.363269,1.03765,112
