,inputPlaneDists,centerPlaneDists,outputPlaneDists,inputTipDists,centerTipDists,outputTipDists,intputTipPointX,intputTipPointY,intputTipPointZ,centerTipPointX,centerTipPointY,centerTipPointZ,outputTipPointX,outputTipPointY,outputTipPointZ
0,46.49731175025068,48.88762624632127,3.3166247903554,1005,917,812,1205,982,263,1195,968,342,1208,955,446
1,43.60045871318328,58.249463516842795,27.892651361962706,1004,886,795,1199,970,257,1187,959,367,1205,949,466
2,42.77849927241488,50.695167422546305,21.18962010041709,1014,912,820,1217,1004,267,1200,979,353,1219,965,456
3,68.54925236645546,52.009614495783374,13.152946437965905,962,846,798,1199,975,301,1188,954,405,1207,946,457
4,100.32447358446493,79.27799190191436,48.218253804964775,965,887,809,1202,980,301,1189,962,367,1213,956,457
5,95.54580053565934,88.68483523128404,52.230259428802384,1003,908,817,1207,987,267,1196,971,352,1217,962,454
6,59.06775770248944,64.63745044476924,34.132096331752024,1016,908,817,1213,995,260,1196,971,352,1217,962,454
7,97.06698717895802,73.76313442364011,46.22769732530488,980,917,824,1214,1001,298,1204,986,352,1221,968,454
8,67.446274915669,61.652250567193406,31.874754901018456,988,843,773,1188,954,263,1178,941,399,1198,946,507
9,72.97944916207575,72.18032973047436,37.22902093797257,993,890,767,1185,943,252,1181,945,355,1201,942,516
10,75.0133321483588,73.5187051028512,39.496835316262995,1019,908,817,1210,987,252,1196,971,352,1217,962,454
11,76.43951857514541,70.8590149522275,35.07135583350036,1004,840,786,1200,972,258,1184,946,406,1200,943,469
12,68.21290200541243,54.415071441651165,22.293496809607955,927,818,752,1166,921,303,1171,919,413,1196,930,519
13,73.824115301167,44.955533585978046,28.583211855912904,864,783,751,1158,909,359,1183,911,449,1198,930,522
14,21.236760581595302,15.231546211727817,1.7320508075688772,1023,931,884,1229,1029,272,1220,1017,356,1232,1014,430
15,25.495097567963924,24.041630560342615,0.0,1006,929,891,1239,1047,299,1224,1025,362,1241,1022,438
16,21.283796653792763,20.518284528683193,0.0,1027,947,902,1245,1059,285,1231,1037,352,1242,1032,436
17,26.019223662515376,23.021728866442675,0.0,1031,949,921,1253,1073,289,1238,1052,369,1249,1047,433
18,42.190046219457976,37.22902093797257,13.038404810405298,1035,997,959,1269,1100,302,1259,1090,361,1273,1078,437
19,24.166091947189145,24.596747752497688,3.3166247903554,1028,964,936,1257,1079,296,1245,1065,368,1257,1058,430
20,42.04759208325728,21.118712081942874,8.12403840463596,1038,990,964,1272,1108,314,1256,1085,362,1257,1079,412
21,36.796738985948195,19.235384061671343,9.848857801796104,1072,1035,1009,1288,1137,315,1276,1121,357,1273,1114,400
22,45.221676218380054,42.04759208325728,22.22611077089287,1087,1038,1003,1296,1152,321,1278,1125,360,1283,1112,418
23,50.0999001995014,45.0,29.068883707497267,1069,1031,990,1287,1135,317,1274,1116,352,1277,1101,419
24,29.832867780352597,28.600699292150182,19.261360284258224,1095,1067,1038,1299,1157,316,1290,1146,351,1282,1135,388
25,40.92676385936225,36.0,26.324893162176366,1101,1071,1043,1303,1165,324,1292,1150,352,1296,1144,411
26,56.515484603779164,44.96665431183423,30.099833886584822,1095,1067,1031,1299,1157,316,1290,1146,351,1292,1135,413
27,94.23905772024676,81.62107570964744,51.264022471905186,1108,1067,1009,1306,1170,322,1290,1146,351,1287,1117,419
28,65.86349520030045,56.16938667993447,43.04648650006177,1095,1069,1021,1299,1157,316,1291,1148,352,1287,1127,413
29,75.18643494673756,68.09552114493287,47.77028364998475,1087,1050,1009,1296,1152,321,1282,1132,352,1287,1117,419
30,108.25894882179486,83.12039460926542,49.60846701924985,1077,1038,988,1293,1147,331,1277,1122,352,1277,1100,420
31,62.617888817813075,54.45181356024793,39.21734310225516,1076,1043,1003,1290,1141,316,1279,1126,352,1283,1112,418
32,61.78996682310163,58.60034129593445,43.669211121796096,1050,1020,968,1276,1113,300,1269,1106,352,1274,1085,432
33,58.532042506647585,50.33885179461288,23.790754506740637,1029,988,946,1267,1097,307,1255,1083,362,1268,1067,438
34,62.42595614005443,62.65780079128216,37.76241517699841,1036,983,936,1269,1100,301,1252,1077,358,1267,1059,442
35,62.24146527838174,55.299186250793966,34.0147027033899,1034,997,954,1269,1100,304,1259,1089,357,1269,1074,434
36,54.20332093147061,51.42956348249516,20.024984394500787,1021,960,923,1254,1073,300,1243,1061,368,1261,1049,442
37,99.39818911831343,88.6904729945669,53.49766350038102,1017,974,932,1264,1091,318,1249,1073,368,1273,1056,454
38,81.24653838779841,70.2922470831599,41.44876355212541,1042,1002,953,1273,1108,304,1261,1093,358,1275,1073,442
39,86.85620300243386,78.81624198095213,55.89275444992848,1049,1009,970,1278,1119,318,1266,1103,368,1288,1087,449
40,47.70744176750625,31.272991542223778,6.708203932499369,1032,982,944,1267,1097,303,1251,1074,352,1259,1065,428
41,38.01315561749642,33.66006535941367,23.93741840717165,1049,1017,982,1278,1119,318,1268,1105,354,1272,1095,418
42,65.70388116390082,58.111960903070546,33.51119216023208,1061,1023,981,1284,1130,322,1271,1111,357,1273,1094,420
43,99.06563480844405,85.76129663198896,53.61902647381804,1049,1000,947,1278,1119,318,1262,1096,369,1278,1068,450
44,85.86617494683223,72.18032973047436,42.17819341792628,1021,981,939,1254,1073,300,1251,1075,357,1273,1062,448
45,93.66963221877195,78.45380806563821,51.332251070842396,1118,1074,1040,1313,1182,331,1294,1155,358,1297,1142,414
46,114.74319151914854,98.41747812253675,75.69015788066504,1098,1067,1009,1303,1165,332,1290,1146,351,1287,1117,419
47,116.0775602776006,103.75933692926145,89.2468486838611,1077,1049,1012,1293,1147,331,1284,1137,368,1288,1119,420
48,108.7152243248387,104.22091920531118,97.07728879609277,1052,1038,1009,1282,1127,333,1277,1122,352,1287,1117,419
49,102.39628899525607,88.94942383174835,77.27871634544663,1061,1025,975,1284,1130,322,1272,1113,358,1285,1091,442
50,107.72186407596185,105.76388797694608,81.21576201698781,1017,997,948,1264,1091,318,1259,1089,357,1281,1069,454
51,123.97177098033245,118.47784603038663,90.6311204829776,1022,981,955,1266,1095,316,1273,1094,420,1283,1075,452
52,121.86878189265698,112.3120652467935,91.68424073961675,1034,1020,970,1273,1111,332,1269,1106,352,1288,1087,449
53,117.33712115098103,120.88010589009261,96.89685237405806,1034,988,968,1273,1111,332,1277,1100,420,1288,1085,451
54,135.2959718543017,125.66622457924007,94.91575211733824,1006,940,939,1255,1075,316,1269,1062,442,1276,1062,453
55,135.36986370680884,127.54999019992123,95.44631999192006,1006,960,922,1255,1075,316,1243,1061,368,1269,1048,454
56,134.5213737664019,125.23577763562615,93.98404119849285,992,930,886,1243,1053,317,1229,1035,368,1250,1019,451
57,83.15647900193947,82.23138087129512,52.01922721455981,1021,949,911,1254,1073,300,1238,1052,369,1263,1039,453
58,68.51277253184256,59.94997914928745,26.551836094703507,1030,947,888,1247,1062,284,1231,1037,352,1249,1020,448
59,40.69397989875161,40.44749683231337,13.74772708486752,999,926,890,1237,1043,304,1226,1029,368,1250,1022,448
60,30.4138126514911,32.71085446759225,30.166206257996713,1005,988,976,1239,1047,300,1237,1044,315,1237,1043,327
61,44.721359549995796,53.33854141237835,26.38181191654584,986,916,871,1234,1038,314,1220,1019,372,1241,1006,449
62,67.48333127521195,59.30430001273095,28.39013913315678,1000,923,876,1237,1043,303,1222,1022,367,1243,1010,448
63,86.61408661412992,77.87810988975015,39.774363602702685,1016,938,909,1249,1065,300,1233,1043,368,1263,1038,454
64,88.11923740024082,69.18814927427962,41.49698784249286,1021,948,900,1244,1057,290,1235,1045,356,1255,1030,449
65,94.41398201537736,86.59676668328905,55.98214000911362,1006,927,897,1239,1047,299,1227,1031,368,1257,1028,454
66,50.86255990411808,51.34199061197374,25.0,1003,936,902,1245,1058,309,1232,1041,368,1251,1031,442
67,64.96922348312314,62.24949798994366,35.14256678161116,1015,949,907,1251,1068,303,1237,1050,363,1258,1036,448
68,117.23907198540937,96.15612304996495,59.2452529743945,972,931,905,1239,1047,333,1231,1040,377,1261,1034,454
69,129.71121771072848,111.51681487560519,74.3370701601832,1006,932,923,1255,1075,316,1266,1056,443,1269,1049,453
70,136.56500283747664,123.02032352420473,90.0222194794152,979,928,885,1230,1030,316,1223,1023,362,1249,1018,450
71,151.29111011556495,130.41855696180662,96.45724441429995,963,931,873,1225,1021,327,1217,1009,352,1243,1008,450
72,169.82638193166574,145.27904184706065,110.86027241532469,958,876,873,1225,1021,332,1243,1010,448,1243,1008,450
73,142.8915672809281,139.9928569606321,105.79224924350555,976,926,885,1237,1043,327,1226,1029,368,1249,1018,450
74,131.54847015454038,124.45882853377658,83.49251463454674,994,951,905,1244,1055,316,1235,1044,352,1261,1034,454
75,88.12491134747314,80.36168241145776,47.81213235152768,1009,937,873,1231,1034,288,1222,1020,352,1243,1008,450
76,70.33491309442275,72.4568837309472,71.596089278675,1002,959,917,1221,1014,284,1213,998,318,1204,986,352
77,105.32331175955302,96.33794683301072,59.841457201508724,1013,918,832,1216,1002,266,1205,988,352,1225,974,454
78,147.6651617681029,134.89996293550269,97.29337079164233,979,930,839,1218,1008,304,1215,1005,350,1229,980,454
79,151.32085117392117,137.93476719087178,110.48076755707302,962,917,839,1213,998,315,1204,986,352,1229,980,454
80,92.36341266973628,75.27283706623525,43.02324952859791,1000,931,861,1237,1043,303,1217,1009,352,1235,997,447
81,96.60227740586657,85.84870412533901,54.055527006958314,988,930,861,1222,1016,299,1215,1005,350,1235,997,447
82,111.15754585272202,97.8008179924892,60.96720429870473,999,923,873,1237,1043,304,1222,1022,367,1243,1008,450
83,67.98529252713413,69.92138442565336,40.2119385257662,1006,930,845,1223,1018,282,1215,1005,350,1231,985,453
84,66.18912297349165,51.73006862551025,22.825424421026653,1004,931,860,1222,1016,283,1216,1007,351,1233,996,445
85,62.16912416947821,59.38013135721409,32.984845004941285,951,910,858,1218,1009,332,1212,1004,369,1233,995,446
86,107.33592129385204,92.13576938409967,65.82552696332935,980,930,852,1219,1010,304,1215,1005,350,1231,990,448
87,99.72963451251589,84.2140130857092,51.048996072400875,979,903,844,1218,1008,304,1208,997,372,1231,984,454
88,114.02192771568107,103.1746092796091,61.78996682310163,981,907,824,1217,1006,300,1200,980,358,1221,968,454
89,75.61084578286372,67.09694478886502,46.861498055439924,1022,969,919,1255,1075,300,1245,1063,351,1259,1045,442
90,85.58621384311844,79.40403012442127,53.1224999411737,1017,989,943,1264,1091,318,1255,1082,356,1276,1065,450
91,75.15982969645421,70.49113419430843,65.70388116390082,1029,1004,975,1262,1088,300,1259,1083,326,1248,1068,352
92,102.58167477673582,92.26592003551474,64.8074069840786,984,960,925,1250,1067,333,1244,1064,376,1266,1050,448
93,149.81655449248592,140.97872179871683,110.52601503718479,992,955,922,1244,1055,318,1240,1055,362,1269,1048,454
94,145.12063946937388,135.1258672497609,112.27644454648535,984,940,922,1250,1067,333,1269,1062,442,1269,1048,454
95,159.26079241294764,145.8012345626744,117.17081547894082,1002,939,927,1259,1083,332,1273,1062,448,1271,1052,454
96,160.93166251549133,156.36176003102548,138.87404365107253,984,940,923,1250,1067,333,1269,1062,442,1269,1049,453
97,160.50233643159217,153.58710883404245,135.18505834595774,1003,948,948,1260,1085,333,1280,1069,452,1280,1069,452
98,168.90529891036576,158.8521325006372,139.2264342716569,984,923,922,1249,1065,332,1269,1049,453,1269,1048,454
99,188.04520733057782,171.10815293258239,149.20455757114124,972,923,922,1239,1047,333,1269,1049,453,1269,1048,454
100,182.11260252931427,164.06705946045355,141.19844191774922,972,906,905,1238,1045,332,1261,1035,453,1261,1034,454
101,162.5146147274146,153.850576859497,134.55482154125878,972,905,906,1237,1043,331,1257,1034,448,1261,1035,453
