,Volume3d,Length3d,inputPlaneDists,centerPlaneDists,outputPlaneDists,inputTipDists,centerTipDists,outputTipDists,intputTipPointX,intputTipPointY,intputTipPointZ,centerTipPointX,centerTipPointY,centerTipPointZ,outputTipPointX,outputTipPointY,outputTipPointZ
1,2.0,177.0,66.84309986827361,64.8459713474939,29.949958263743873,958,873,768,1190,997,271,1179,972,343,1186,970,449
2,4.0,205.0,62.68173577685928,68.31544481301428,50.22947341949744,943,823,738,1176,972,272,1178,964,389,1183,958,482
5,6.0,183.0,59.64059020499378,64.1404708432983,50.93132631298737,972,869,774,1206,1019,272,1190,989,357,1194,981,458
7,2.0,172.0,86.05811989580066,63.631753079732135,41.593268686170845,919,821,745,1182,981,301,1178,964,391,1182,959,468
8,4.0,179.0,118.11011811017717,91.07140056021979,76.08547824650904,930,834,751,1190,995,299,1184,975,384,1185,964,467
9,3.0,165.0,113.07077429645558,102.08329931972223,82.18272324521742,955,859,767,1201,1012,284,1185,980,362,1190,975,458
10,4.0,181.0,78.24321056807422,78.03204469959762,64.07027391856539,971,860,767,1201,1012,268,1185,980,361,1190,975,458
11,3.0,149.0,112.89375536317321,86.82165628459296,73.79024325749306,955,872,789,1206,1019,289,1195,997,359,1191,980,434
12,7.0,222.0,84.99411744350311,71.64495795239188,43.3589667773576,930,811,726,1169,958,277,1168,947,391,1188,954,505
13,6.0,227.0,90.69729874698585,83.33666660000267,50.73460357586329,921,814,724,1164,948,280,1168,948,388,1188,953,508
14,4.0,185.0,94.86832980505137,87.25823743349392,69.32532004974806,965,862,774,1195,1004,269,1185,980,359,1194,981,458
18,4.0,203.0,94.37160589923221,82.47423840206105,55.163393659201205,936,823,728,1176,972,279,1178,964,389,1184,953,496
23,4.0,214.0,82.58329128825031,67.24581771381771,38.3275357934736,887,779,717,1152,926,301,1157,922,409,1185,948,510
24,2.0,142.0,81.25884567233281,68.38859554048467,46.36809247747852,798,744,715,1148,909,382,1157,916,442,1186,948,515
26,2.0,155.0,33.421549934136806,26.248809496813376,21.18962010041709,983,887,833,1222,1041,275,1211,1023,360,1215,1023,434
27,2.0,146.0,36.61966684720111,33.60059523282288,22.360679774997898,971,888,842,1229,1053,294,1218,1034,366,1221,1032,438
28,5.0,154.0,31.76476034853718,29.966648127543394,18.466185312619388,985,902,853,1233,1060,284,1222,1041,356,1226,1041,438
29,5.0,145.0,37.12142238654117,31.38470965295043,17.74823934929885,989,898,871,1243,1078,291,1230,1055,369,1234,1056,436
34,3.0,129.0,53.53503525729669,46.06517122512408,34.48187929913333,995,940,914,1260,1107,302,1249,1091,366,1252,1090,429
35,3.0,135.0,35.77708763999664,33.12099032335839,23.259406699226016,988,914,887,1247,1085,296,1238,1070,368,1239,1067,429
66,1.0,109.0,51.62363799656123,30.01666203960727,18.973665961010276,992,941,914,1266,1117,314,1249,1091,364,1248,1085,413
74,0.0,97.0,44.654227123532216,28.0178514522438,18.35755975068582,1028,987,959,1284,1146,312,1270,1128,357,1266,1119,400
75,1.0,93.0,52.15361924162119,50.11985634456667,36.069377593742864,1034,990,961,1289,1154,321,1272,1131,360,1268,1122,404
76,1.0,92.0,58.249463516842795,53.99073994677235,41.048751503547585,1026,987,952,1284,1146,318,1269,1125,350,1263,1113,401
77,1.0,79.0,36.89173349139343,35.24202037341219,25.238858928247925,1046,1015,989,1293,1161,313,1284,1149,350,1278,1140,387
78,1.0,79.0,47.41307836451879,42.485291572496,35.35533905932738,1048,1021,996,1296,1166,321,1287,1154,350,1283,1149,396
79,1.0,87.0,63.51377803280167,51.73006862551025,39.11521443121589,1047,1015,986,1295,1164,319,1284,1149,350,1278,1140,396
80,1.0,97.0,100.72239075796404,88.38551917593742,67.08203932499369,1052,1015,972,1299,1171,326,1284,1149,350,1273,1131,403
81,2.0,83.0,72.56031973468694,62.82515419798029,51.86520991955976,1046,1021,987,1295,1164,320,1287,1154,350,1278,1140,392
82,1.0,92.0,82.29823813423954,75.40557008603542,62.64982043070834,1034,1008,963,1289,1154,320,1280,1143,350,1268,1122,400
83,3.0,100.0,115.2128465059344,91.36191766814004,65.5133574166368,1031,1000,951,1289,1154,328,1276,1136,349,1263,1113,404
84,2.0,89.0,69.9714227381436,62.505999712027645,51.10772935672255,1030,1000,964,1286,1149,317,1276,1136,349,1268,1122,397
85,2.0,103.0,71.56116265125938,68.47627326307996,60.21627686929839,1005,963,933,1271,1125,308,1258,1107,355,1256,1100,410
86,1.0,119.0,69.77105417004964,59.0592922409336,45.05552130427524,983,933,902,1254,1097,308,1246,1085,365,1246,1080,429
87,2.0,120.0,73.78346698278686,71.55417527999327,58.137767414994535,994,925,895,1258,1104,301,1242,1078,365,1240,1070,418
88,2.0,114.0,73.35529974037323,64.8459713474939,53.71219600798314,990,941,912,1260,1107,307,1249,1091,362,1248,1085,418
89,5.0,138.0,66.03786792439622,60.207972893961475,45.05552130427524,986,914,879,1246,1083,297,1238,1070,368,1238,1063,438
90,2.0,115.0,110.45361017187261,96.46242791885346,82.59539938761722,977,924,889,1260,1107,322,1246,1083,382,1243,1072,438
