,inputPlaneDists,centerPlaneDists,outputPlaneDists,inputTipDists,centerTipDists,outputTipDists,intputTipPointX,intputTipPointY,intputTipPointZ,centerTipPointX,centerTipPointY,centerTipPointZ,outputTipPointX,outputTipPointY,outputTipPointZ
0,654.3981968190316,522.541864351556,456.4340039918148,325,279,198,1522,934,754,1499,921,797,1462,904,874
1,681.7822232942129,542.4297189498378,395.57173812091276,325,279,192,1522,934,754,1499,921,797,1460,904,880
2,427.38390236413915,506.0247029543123,635.9355313237342,198,279,325,1462,904,874,1499,921,797,1522,934,754
3,638.0924697878827,520.9865641261779,438.17005831069747,325,279,279,1522,934,754,1499,921,797,1499,921,797
4,398.30641471108646,491.4997456764347,667.2008693039901,198,278,278,1462,904,874,1500,922,798,1500,922,798
5,378.51552147831404,480.7920548428395,651.8811241323068,192,278,192,1460,904,880,1500,922,798,1462,905,880
6,683.5715032094301,516.3680857682822,385.9391143690932,325,278,198,1522,934,754,1500,922,798,1462,904,874
7,403.510842481339,537.3443960813214,662.7865418066363,192,278,278,1460,904,880,1500,922,798,1500,922,798
8,661.1966424597149,446.776230343558,364.3638291598111,278,192,192,1500,922,798,1460,904,880,1460,904,880
9,646.5415686558754,459.17316994789667,340.07205118915607,192,192,130,1462,905,880,1460,904,880,1439,892,939
10,396.6887949009904,454.48982386847786,563.5840664887537,198,278,278,1462,904,874,1500,922,798,1500,922,798
11,362.42516468920866,500.513736075245,632.3385169353517,198,192,192,1462,904,874,1460,904,880,1462,905,880
12,599.2662179699437,439.71581731841303,351.1552363271834,324,278,192,1522,934,755,1500,922,798,1460,904,880
13,500.29891065242185,416.15982506724504,330.57071860647306,354,325,279,1592,975,736,1522,934,754,1499,921,797
14,495.45332777164793,414.0603820700551,378.7664187860376,354,325,279,1592,975,736,1522,934,754,1499,921,797
15,329.7104790570054,418.6179642585827,525.2056739982918,279,325,354,1499,921,797,1522,934,754,1592,975,736
16,570.6154572038861,463.71003870953666,424.26524722159365,325,325,279,1522,934,754,1522,934,754,1499,921,797
17,333.343666506505,408.2266527310533,517.83105353001,279,325,352,1499,921,797,1522,934,754,1592,975,738
18,343.6713546398652,437.11783308394087,539.4719640537403,279,323,352,1499,921,797,1522,934,756,1592,975,738
19,321.21332475474924,376.655014569035,492.3961819510789,198,278,352,1462,904,874,1500,922,798,1592,975,738
20,355.2886150723099,422.0497600994461,502.1882117294272,279,325,354,1499,921,797,1522,934,754,1592,975,736
21,516.0319757534411,427.37688285633794,385.62416936701464,354,325,279,1592,975,736,1522,934,754,1499,921,797
