"muscles_p1-combined.Label-Analysis"
"Length3d","VoxelFaceArea","Volume3d","OrientationPhi","index","Materials"
3.36899,2.59975,0.0574209,12.0541,1,""
3.19175,2.46626,0.0491863,9.7785,2,""
3.70383,3.63265,0.0846209,6.21706,3,""
4.00291,5.07832,0.155461,4.46264,4,""
3.9977,3.20562,0.0739894,9.72762,5,""
3.31167,3.97738,0.108701,14.5803,6,""
3.20966,6.76958,0.161468,13.7905,7,""
3.09867,2.32694,0.0507842,16.5603,8,""
3.23476,3.17322,0.0730329,12.3758,9,""
2.97503,2.78443,0.0670902,18.7646,10,""
3.27585,3.0987,0.0776051,11.7652,11,""
2.69213,2.84598,0.0604827,18.7019,12,""
3.99764,4.48152,0.134659,6.98255,13,""
4.09072,4.68952,0.111069,5.96226,14,""
3.33677,3.26264,0.074141,12.7077,15,""
3.28779,5.11331,0.12433,12.338,16,""
3.39409,4.68434,0.0977427,13.2637,17,""
3.62512,3.08509,0.0713475,7.02064,18,""
3.65921,3.60997,0.0778093,10.1251,19,""
4.04769,3.90286,0.092564,10.1733,20,""
3.41014,3.55813,0.105073,12.3748,21,""
3.39513,2.91078,0.0700878,16.8072,22,""
3.99752,3.61645,0.100711,10.343,23,""
3.17025,3.14212,0.0814542,12.3443,24,""
3.8543,3.23543,0.0866388,8.24918,25,""
2.56068,1.95435,0.0408292,15.5921,26,""
3.01978,2.65871,0.0695746,16.5723,27,""
2.8048,2.75203,0.0497111,16.3549,28,""
2.63109,2.26797,0.0530936,14.7347,29,""
2.77617,4.35322,0.100075,19.3656,30,""
2.61144,3.31772,0.102292,17.2518,31,""
2.37142,3.51601,0.113005,15.2422,32,""
2.68674,3.90416,0.116679,21.0116,33,""
2.38041,2.07099,0.0472967,23.6452,34,""
2.38386,2.5518,0.0682566,31.7835,35,""
2.3356,2.13578,0.0577358,12.7433,36,""
2.43588,2.12218,0.0543708,15.8835,37,""
2.62228,2.67038,0.0589839,19.9387,38,""
2.82463,2.83756,0.0803928,18.755,39,""
2.91052,6.38208,0.221892,17.6934,40,""
2.62396,1.82345,0.0391262,19.872,41,""
2.59162,3.53026,0.0874844,17.4754,42,""
2.60779,4.70119,0.131334,15.0333,43,""
2.42336,2.05867,0.0538868,14.9148,44,""
2.50931,1.96342,0.0463695,15.505,45,""
2.51285,2.00165,0.0483581,10.9437,46,""
2.39113,2.5978,0.0726364,14.0959,47,""
2.41623,3.48491,0.102321,14.51,48,""
1.92764,2.88422,0.0818508,13.3718,49,""
2.05124,3.0352,0.124214,18.7353,50,""
0.622225,0.390092,0.00764563,25.6583,51,""
1.14538,1.41003,0.0376799,23.8152,52,""
1.53208,1.5824,0.0424213,17.3514,53,""
2.61671,2.70731,0.0755173,17.2578,54,""
1.59764,1.29275,0.035178,9.93634,55,""
1.4579,1.08863,0.0268034,11.3912,56,""
3.13294,3.32291,0.106718,19.6881,57,""
2.76365,2.91856,0.0737094,17.7723,58,""
2.6366,2.48959,0.0635094,21.2391,59,""
0.380025,0.248181,0.00440892,12.9543,60,""
2.69734,2.62372,0.0739019,16.8638,61,""
2.00827,1.42688,0.0265177,19.6877,62,""
2.97509,3.5847,0.11248,22.6064,63,""
3.11486,2.37489,0.0476583,23.0005,64,""
2.44127,4.39404,0.175412,21.0443,65,""
1.68646,1.67765,0.0298244,23.4442,66,""
1.76224,1.23119,0.021683,28.9287,67,""
1.96994,1.50918,0.0289846,22.3108,68,""
2.67775,2.42673,0.0527496,23.1864,69,""
2.40794,1.57333,0.0253455,26.1322,70,""
1.52786,1.37439,0.0280748,18.3926,71,""
1.71117,1.51695,0.0336209,30.3876,72,""
1.71314,1.32126,0.0266751,27.9606,73,""
2.02181,2.48052,0.0726597,28.1776,74,""
1.44517,0.860534,0.0145973,28.766,75,""
1.7593,1.099,0.0179273,34.0755,76,""
1.6894,1.86946,0.0341166,30.5416,77,""
1.67184,1.34005,0.028658,29.0801,78,""
1.42545,1.16833,0.0274391,19.7361,79,""
1.42536,1.12427,0.0237242,23.183,80,""
1.56954,1.39189,0.0298885,32.0797,81,""
1.74703,1.79753,0.0346707,41.5842,82,""
1.50753,1.45734,0.0371667,32.205,83,""
1.66396,1.31607,0.0308858,33.4725,84,""
1.81257,2.61919,0.0656847,45.2434,85,""
1.60366,1.47937,0.0383623,29.3278,86,""
1.87174,1.72755,0.0464103,21.1881,87,""
2.15297,1.50464,0.031778,17.9231,88,""
2.16549,1.77485,0.0386714,19.1574,89,""
2.06162,1.78133,0.0457863,20.5451,90,""
2.50039,3.78298,0.103989,14.7042,91,""
2.08245,1.72884,0.0367468,17.4073,92,""
2.02565,1.53445,0.0355746,23.7411,93,""
1.83952,1.64914,0.041978,16.5723,94,""
2.29758,1.98156,0.0434768,24.2469,95,""
1.59505,1.07826,0.0222429,19.384,96,""
1.65796,1.36726,0.0292995,28.6718,97,""
2.04895,2.24854,0.0382165,27.8521,98,""
2.30697,1.80466,0.0349156,13.5356,99,""
1.48274,1.74893,0.033201,50.434,100,""
1.33374,0.984949,0.019846,39.3875,101,""
1.06691,0.563106,0.00839211,32.7471,102,""
1.26205,0.692704,0.0114539,23.843,103,""
0.827951,0.391388,0.00580274,34.8211,104,""
1.40494,0.983653,0.0172858,35.02,105,""
1.80543,2.21743,0.0527087,14.1034,106,""
1.75889,1.6621,0.0383448,13.9933,107,""
1.32009,0.872198,0.0160261,18.4481,108,""
1.31468,1.77226,0.0332885,21.1021,109,""
1.8001,1.4541,0.034,12.812,110,""
1.92368,1.76643,0.0429286,16.4486,111,""
2.00969,2.09302,0.0555664,16.664,112,""
2.26037,1.4865,0.0315681,11.7309,113,""
2.80132,2.9231,0.0764737,16.0389,114,""
2.37136,2.28288,0.0524055,10.7499,115,""
0.454937,0.214486,0.00303842,19.9902,116,""
2.28181,1.88177,0.0359653,16.5584,117,""
2.47355,1.99841,0.0397619,18.0223,118,""
2.61144,2.00424,0.0479557,9.64102,119,""
2.57389,1.89149,0.0404617,13.8056,120,""
2.58095,2.89653,0.0726189,6.42778,121,""
2.27109,1.5163,0.0325479,13.0128,122,""
2.22635,1.36014,0.0253163,13.2092,123,""
1.76195,1.43401,0.0333643,21.478,124,""
1.96001,1.38735,0.0260161,18.0115,125,""
2.0276,1.47807,0.0297194,24.3866,126,""
1.71234,1.08344,0.0194319,25.3822,127,""
1.529,1.22017,0.0252171,28.2501,128,""
1.64251,1.47159,0.0275616,16.574,129,""
2.06701,1.75347,0.0340641,17.8762,130,""
2.61324,3.4376,0.0710209,17.154,131,""
1.35603,0.682984,0.0102467,19.5133,132,""
2.74759,4.326,0.118627,18.8647,133,""
2.399,3.30541,0.0798329,16.6383,134,""
2.19957,2.4682,0.0521022,17.0266,135,""
2.50943,2.38656,0.0543708,18.1171,136,""
2.23893,1.61804,0.0323729,15.0839,137,""
2.37114,1.42753,0.0226569,26.1911,138,""
2.36969,1.37893,0.0256079,15.5457,139,""
