"muscles_p1-dorsal.Label-Analysis---dorsal"
"Volume3d","Length3d","index","Materials"
0,-inf,1,""
0.0491863,3.19175,2,""
0.0846209,3.70383,3,""
0,-inf,4,""
0,-inf,5,""
0.108701,3.31167,6,""
0,-inf,7,""
0.0507842,3.09867,8,""
0.0730329,3.23476,9,""
0.0670902,2.97503,10,""
0.0776051,3.27585,11,""
0.0604827,2.69213,12,""
0.134659,3.99764,13,""
0.111069,4.09072,14,""
0.074141,3.33677,15,""
0,-inf,16,""
0,-inf,17,""
0,-inf,18,""
0.0778093,3.65921,19,""
0,-inf,20,""
0,-inf,21,""
0,-inf,22,""
0,-inf,23,""
0.0866388,3.8543,24,""
0.0408292,2.56068,25,""
0,-inf,26,""
0.0497111,2.8048,27,""
0.0530936,2.63109,28,""
0.100075,2.77617,29,""
0.102292,2.61144,30,""
0,-inf,31,""
0,-inf,32,""
0,-inf,33,""
0,-inf,34,""
0.0577358,2.3356,35,""
0.0543708,2.43588,36,""
0,-inf,37,""
0,-inf,38,""
0,-inf,39,""
0,-inf,40,""
0,-inf,41,""
0,-inf,42,""
0,-inf,43,""
0,-inf,44,""
0,-inf,45,""
0,-inf,46,""
0,-inf,47,""
0,-inf,48,""
0,-inf,49,""
0,-inf,50,""
0,-inf,51,""
0,-inf,52,""
0,-inf,53,""
0,-inf,54,""
0,-inf,55,""
0,-inf,56,""
0,-inf,57,""
0,-inf,58,""
0,-inf,59,""
0,-inf,60,""
0,-inf,61,""
0,-inf,62,""
0,-inf,63,""
0,-inf,64,""
0,-inf,65,""
0,-inf,66,""
0.0289846,1.96994,67,""
0,-inf,68,""
0,-inf,69,""
0,-inf,70,""
0,-inf,71,""
0,-inf,72,""
0,-inf,73,""
0,-inf,74,""
0.0179273,1.7593,75,""
0.0341166,1.6894,76,""
0.028658,1.67184,77,""
0.0274391,1.42545,78,""
0.0237242,1.42536,79,""
0.0298885,1.56954,80,""
0.0346707,1.74703,81,""
0.0371667,1.50753,82,""
0.0308858,1.66396,83,""
0.0656847,1.81257,84,""
0.0383623,1.60366,85,""
0.0464103,1.87174,86,""
0.031778,2.15297,87,""
0.0386714,2.16549,88,""
0.0457863,2.06162,89,""
0.103989,2.50039,90,""
0.0367468,2.08245,91,""
0.0355746,2.02565,92,""
0.041978,1.83952,93,""
0.0434768,2.29758,94,""
0.0222429,1.59505,95,""
0.0292995,1.65796,96,""
0.0382165,2.04895,97,""
0.0349156,2.30697,98,""
0.033201,1.48274,99,""
0.019846,1.33374,100,""
0.00839211,1.06691,101,""
0,-inf,102,""
0.00580274,0.827951,103,""
0.0172858,1.40494,104,""
0.0527087,1.80543,105,""
0.0383448,1.75889,106,""
0.0160261,1.32009,107,""
0.0332885,1.31468,108,""
0.034,1.8001,109,""
0.0429286,1.92368,110,""
0.0555664,2.00969,111,""
0.0315681,2.26037,112,""
0.0764737,2.80132,113,""
0.0524055,2.37136,114,""
0.00303842,0.454937,115,""
0.0359653,2.28181,116,""
0.0397619,2.47355,117,""
0.0479557,2.61144,118,""
0.0404617,2.57389,119,""
0.0726189,2.58095,120,""
0.0325479,2.27109,121,""
0.0253163,2.22635,122,""
0.0333643,1.76195,123,""
0.0260161,1.96001,124,""
0.0297194,2.0276,125,""
0.0194319,1.71234,126,""
0.0252171,1.529,127,""
0.0275616,1.64251,128,""
0.0340641,2.06701,129,""
0.0710209,2.61324,130,""
0.0102467,1.35603,131,""
