"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0,-inf,5.72958,180,1,""
0.0491863,3.19175,5.72958,180,2,""
0.0846209,3.70383,5.72958,180,3,""
0,-inf,5.72958,180,4,""
0,-inf,5.72958,180,5,""
0.108701,3.31167,5.72958,180,6,""
0,-inf,5.72958,180,7,""
0.0507842,3.09867,5.72958,180,8,""
0.0730329,3.23476,5.72958,180,9,""
0.0670902,2.97503,5.72958,180,10,""
0.0776051,3.27585,5.72958,180,11,""
0.0604827,2.69213,5.72958,180,12,""
0.134659,3.99764,5.72958,180,13,""
0.111069,4.09072,5.72958,180,14,""
0.074141,3.33677,5.72958,180,15,""
0,-inf,5.72958,180,16,""
0,-inf,5.72958,180,17,""
0,-inf,5.72958,180,18,""
0.0778093,3.65921,5.72958,180,19,""
0,-inf,5.72958,180,20,""
0,-inf,5.72958,180,21,""
0,-inf,5.72958,180,22,""
0,-inf,5.72958,180,23,""
0.0866388,3.8543,5.72958,180,24,""
0.0408292,2.56068,27.6049,91.7724,25,""
0,-inf,5.72958,180,26,""
0.0497111,2.8048,5.72958,180,27,""
0.0530936,2.63109,5.72958,180,28,""
0.100075,2.77617,5.72958,180,29,""
0.102292,2.61144,5.72958,180,30,""
0,-inf,5.72958,180,31,""
0,-inf,5.72958,180,32,""
0,-inf,5.72958,180,33,""
0,-inf,5.72958,180,34,""
0.0577358,2.3356,5.72958,180,35,""
0.0543708,2.43588,5.72958,180,36,""
0,-inf,5.72958,180,37,""
0,-inf,5.72958,180,38,""
0,-inf,5.72958,180,39,""
0,-inf,5.72958,180,40,""
0,-inf,5.72958,180,41,""
0,-inf,5.72958,180,42,""
0,-inf,5.72958,180,43,""
0,-inf,5.72958,180,44,""
0,-inf,5.72958,180,45,""
0,-inf,5.72958,180,46,""
0,-inf,5.72958,180,47,""
0,-inf,5.72958,180,48,""
0,-inf,5.72958,180,49,""
0,-inf,5.72958,180,50,""
0,-inf,5.72958,180,51,""
0,-inf,5.72958,180,52,""
0,-inf,5.72958,180,53,""
0,-inf,5.72958,180,54,""
0,-inf,5.72958,180,55,""
0,-inf,5.72958,180,56,""
0,-inf,5.72958,180,57,""
0,-inf,5.72958,180,58,""
0,-inf,5.72958,180,59,""
0,-inf,5.72958,180,60,""
0,-inf,5.72958,180,61,""
0,-inf,5.72958,180,62,""
0,-inf,5.72958,180,63,""
0,-inf,5.72958,180,64,""
0,-inf,5.72958,180,65,""
0,-inf,5.72958,180,66,""
0.0289846,1.96994,31.1165,-166.64,67,""
0,-inf,5.72958,180,68,""
0,-inf,5.72958,180,69,""
0,-inf,5.72958,180,70,""
0,-inf,5.72958,180,71,""
0,-inf,5.72958,180,72,""
0,-inf,5.72958,180,73,""
0,-inf,5.72958,180,74,""
0.0179273,1.7593,31.1165,-166.64,75,""
0.0341166,1.6894,31.1165,-166.64,76,""
0.028658,1.67184,31.1165,-166.64,77,""
0.0274391,1.42545,31.1165,-166.64,78,""
0.0237242,1.42536,31.1165,-166.64,79,""
0.0298885,1.56954,31.1165,-166.64,80,""
0.0346707,1.74703,31.1165,-166.64,81,""
0.0371667,1.50753,31.1165,-166.64,82,""
0.0308858,1.66396,31.1165,-166.64,83,""
0.0656847,1.81257,56.3636,-171.371,84,""
0.0383623,1.60366,31.1165,-166.64,85,""
0.0464103,1.87174,5.72958,180,86,""
0.031778,2.15297,5.72958,180,87,""
0.0386714,2.16549,5.72958,180,88,""
0.0457863,2.06162,5.72958,180,89,""
0.103989,2.50039,5.72958,180,90,""
0.0367468,2.08245,31.1165,-166.64,91,""
0.0355746,2.02565,31.1165,-166.64,92,""
0.041978,1.83952,5.72958,180,93,""
0.0434768,2.29758,31.1165,-166.64,94,""
0.0222429,1.59505,31.1165,-166.64,95,""
0.0292995,1.65796,31.1165,-166.64,96,""
0.0382165,2.04895,31.1165,-166.64,97,""
0.0349156,2.30697,5.72958,180,98,""
0.033201,1.48274,31.1165,-166.64,99,""
0.019846,1.33374,31.1165,-166.64,100,""
0.00839211,1.06691,31.1165,-166.64,101,""
0,-inf,5.72958,180,102,""
0.00580274,0.827951,31.1165,-166.64,103,""
0.0172858,1.40494,31.1165,-166.64,104,""
0.0527087,1.80543,5.72958,180,105,""
0.0383448,1.75889,5.72958,180,106,""
0.0160261,1.32009,31.1165,-166.64,107,""
0.0332885,1.31468,5.72958,180,108,""
0.034,1.8001,5.72958,180,109,""
0.0429286,1.92368,5.72958,180,110,""
0.0555664,2.00969,5.72958,180,111,""
0.0315681,2.26037,5.72958,180,112,""
0.0764737,2.80132,5.72958,180,113,""
0.0524055,2.37136,5.72958,180,114,""
0.00303842,0.454937,5.72958,180,115,""
0.0359653,2.28181,5.72958,180,116,""
0.0397619,2.47355,5.72958,180,117,""
0.0479557,2.61144,5.72958,180,118,""
0.0404617,2.57389,5.72958,180,119,""
