"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,1
29.3597,29.3616,35.9089,3.19175,29.4658,29.5918,34.5958,28.9078,29.5738,37.7278,5.72958,180,0.0491863,2
29.2882,29.0417,36.5368,3.70383,29.3038,29.4298,34.5778,29.1778,29.1958,38.2678,5.72958,180,0.0846209,3
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,4
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,5
29.509,29.607,36.1543,3.31167,29.6998,30.1318,34.6138,29.3758,29.5738,37.8898,5.72958,180,0.108701,6
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,7
29.2957,29.1706,36.76,3.09867,29.7178,29.2858,34.9738,29.0158,29.2858,37.9978,5.72958,180,0.0507842,8
29.7563,29.0468,36.404,3.23476,30.2938,29.1418,34.9018,29.6638,29.1418,38.0698,5.72958,180,0.0730329,9
30.0306,29.1383,36.2454,2.97503,30.3118,29.3398,34.8298,29.7718,29.1778,37.7458,5.72958,180,0.0670902,10
29.6359,29.3163,36.2225,3.27585,29.8258,29.7358,34.5418,29.5018,29.3578,37.7818,5.72958,180,0.0776051,11
29.9289,29.4839,36.1868,2.69213,30.4918,29.5918,34.9198,29.7358,29.4478,37.5298,5.72958,180,0.0604827,12
29.235,28.8086,36.6271,3.99764,29.5198,28.9618,34.6678,29.1418,29.1778,38.6278,5.72958,180,0.134659,13
29.376,28.6803,36.4651,4.09072,29.4838,28.6738,34.6318,29.2498,29.0698,38.6998,5.72958,180,0.111069,14
29.8163,29.2871,36.1458,3.33677,30.0238,29.5018,34.5598,29.6278,29.3578,37.8538,5.72958,180,0.074141,15
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,16
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,17
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,18
29.5193,28.8726,36.6754,3.65921,29.8078,29.1598,34.7398,29.2318,29.0698,38.3398,5.72958,180,0.0778093,19
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,20
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,21
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,22
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,23
29.0024,28.4733,36.9297,3.8543,29.1418,28.3498,35.0278,28.9438,28.9978,38.8617,5.72958,180,0.0866388,24
29.0466,28.3853,37.5558,2.56068,29.0878,28.1338,36.4678,29.0878,28.9258,38.9157,27.6049,91.7724,0.0408292,25
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,26
29.3137,30.5897,36.1433,2.8048,29.5738,30.7438,34.6678,29.3038,30.6178,37.4398,5.72958,180,0.0497111,27
29.5118,30.6399,36.3195,2.63109,29.7718,30.9598,35.0098,29.4478,30.7798,37.6018,5.72958,180,0.0530936,28
29.5862,30.8902,36.1329,2.77617,29.8078,31.1938,34.8298,29.4658,30.9598,37.5658,5.72958,180,0.100075,29
29.7351,31.0966,36.3737,2.61144,30.0778,31.4818,34.9558,29.5918,31.2298,37.5118,5.72958,180,0.102292,30
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,31
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,32
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,33
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,34
30.3218,31.6472,36.3186,2.3356,30.5998,31.7878,35.1538,30.1858,31.6978,37.4398,5.72958,180,0.0577358,35
29.9025,31.365,36.3551,2.43588,30.1318,31.6258,35.0458,29.7898,31.4098,37.4398,5.72958,180,0.0543708,36
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,37
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,38
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,39
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,40
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,41
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,42
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,43
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,44
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,45
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,46
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,47
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,48
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,49
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,50
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,51
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,52
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,53
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,54
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,55
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,56
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,57
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,58
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,59
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,60
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,61
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,62
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,63
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,64
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,65
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,66
30.0451,31.7587,36.2874,1.96994,30.6898,32.0038,35.3698,29.8618,31.7338,37.1158,31.1165,-166.64,0.0289846,67
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,68
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,69
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,70
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,71
