"muscles_p1-final.Label-Analysis"
"Volume3d","Flatness","FirstPointZ","FeretShape3d","index"
0,-1,-2,nan,1
0.0491863,0.223938,271,8.26003,2
0.0846209,0.347305,270,5.66177,3
0,-1,-2,nan,4
0,-1,-2,nan,5
0.108701,0.454972,272,6.8231,6
0,-1,-2,nan,7
0.0507842,0.578995,292,7.30359,8
0.0730329,0.502192,288,5.71807,9
0.0670902,0.332158,284,8.41045,10
0.0776051,0.627339,268,7.00657,11
0.0604827,0.388873,289,5.63664,12
0.134659,0.356696,275,8.13245,13
0.111069,0.416887,273,8.5423,14
0.074141,0.38086,269,7.11375,15
0,-1,-2,nan,16
0,-1,-2,nan,17
0,-1,-2,nan,18
0.0778093,0.387534,279,8.30921,19
0,-1,-2,nan,20
0,-1,-2,nan,21
0,-1,-2,nan,22
0,-1,-2,nan,23
0.0866388,0.234203,295,10.2132,24
0.0408292,0.267629,375,8.2825,25
0,-1,-2,nan,26
0.0497111,0.56925,275,5.73662,27
0.0530936,0.41111,294,6.4735,28
0.100075,0.200705,284,5.60373,29
0.102292,0.323895,291,5.17891,30
0,-1,-2,nan,31
0,-1,-2,nan,32
0,-1,-2,nan,33
0,-1,-2,nan,34
0.0577358,0.444287,302,7.00437,35
0.0543708,0.389613,296,5.92272,36
0,-1,-2,nan,37
0,-1,-2,nan,38
0,-1,-2,nan,39
0,-1,-2,nan,40
0,-1,-2,nan,41
0,-1,-2,nan,42
0,-1,-2,nan,43
0,-1,-2,nan,44
0,-1,-2,nan,45
0,-1,-2,nan,46
0,-1,-2,nan,47
0,-1,-2,nan,48
0,-1,-2,nan,49
0,-1,-2,nan,50
0,-1,-2,nan,51
0,-1,-2,nan,52
0,-1,-2,nan,53
0,-1,-2,nan,54
0,-1,-2,nan,55
0,-1,-2,nan,56
0,-1,-2,nan,57
0,-1,-2,nan,58
0,-1,-2,nan,59
0,-1,-2,nan,60
0,-1,-2,nan,61
0,-1,-2,nan,62
0,-1,-2,nan,63
0,-1,-2,nan,64
0,-1,-2,nan,65
0,-1,-2,nan,66
0.0289846,0.187674,314,4.719,67
0,-1,-2,nan,68
0,-1,-2,nan,69
0,-1,-2,nan,70
0,-1,-2,nan,71
0,-1,-2,nan,72
0,-1,-2,nan,73
0,-1,-2,nan,74
0.0179273,0.509684,312,5.04902,75
0.0341166,0.533154,321,5.41449,76
0.028658,0.578377,318,5.43437,77
0.0274391,0.55299,313,5.37132,78
0.0237242,0.38756,321,4.5212,79
0.0298885,0.556718,319,4.35477,80
0.0346707,0.54101,326,4.70067,81
0.0371667,0.502283,320,4.24159,82
0.0308858,0.468228,320,6.22459,83
0.0656847,0.0999295,323,6.0923,84
0.0383623,0.455549,317,5.22824,85
0.0464103,0.665454,308,5.93712,86
0.031778,0.513192,308,6.95656,87
0.0386714,0.696638,301,6.96261,88
0.0457863,0.955391,307,5.66541,89
0.103989,0.393141,297,5.92233,90
0.0367468,0.214809,322,6.78301,91
0.0355746,0.528934,315,6.29851,92
0.041978,0.269118,322,6.32257,93
0.0434768,0.528953,302,4.72807,94
0.0222429,0.591328,318,6.46585,95
0.0292995,0.623599,325,5.32841,96
0.0382165,0.350196,324,5.55225,97
0.0349156,0.485744,300,7.36906,98
0.033201,0.466837,337,3.57904,99
0.019846,0.402724,337,5.31904,100
0.00839211,0.287139,346,4.49321,101
0,-1,-2,nan,102
0.00580274,0.840041,336,4.39729,103
0.0172858,0.191031,330,5.64296,104
0.0527087,0.154459,326,5.33231,105
0.0383448,0.336118,320,5.50488,106
0.0160261,0.216374,334,6.79561,107
0.0332885,0.234523,338,4.50445,108
0.034,0.738333,324,5.03738,109
