,BaryCenterX,BaryCenterY,BaryCenterZ,Length3dInputX,Length3dInputY,Length3dInputZ,Length3dOutputX,Length3dOutputY,Length3dOutputZ
1,1237.0,943.0,343.0,1242.0,955.0,271.0,1211.0,954.0,445.0
2,1233.0,925.0,378.0,1233.0,946.0,270.0,1226.0,933.0,475.0
5,1245.0,956.0,357.0,1255.0,985.0,272.0,1237.0,954.0,454.0
7,1233.0,932.0,391.0,1256.0,938.0,292.0,1217.0,938.0,460.0
8,1259.0,925.0,371.0,1288.0,930.0,288.0,1253.0,930.0,464.0
9,1274.0,930.0,362.0,1289.0,941.0,284.0,1259.0,932.0,446.0
10,1252.0,940.0,361.0,1262.0,963.0,268.0,1244.0,942.0,448.0
11,1268.0,950.0,359.0,1299.0,955.0,289.0,1257.0,947.0,434.0
12,1230.0,912.0,383.0,1245.0,920.0,275.0,1224.0,932.0,495.0
13,1238.0,905.0,374.0,1243.0,904.0,273.0,1230.0,926.0,499.0
14,1262.0,939.0,357.0,1273.0,950.0,269.0,1251.0,942.0,452.0
18,1245.0,916.0,386.0,1261.0,931.0,279.0,1229.0,926.0,479.0
23,1217.0,893.0,400.0,1224.0,886.0,295.0,1213.0,922.0,507.0
24,1219.0,888.0,435.0,1221.0,874.0,375.0,1221.0,918.0,510.0
26,1234.0,1011.0,356.0,1248.0,1020.0,275.0,1233.0,1013.0,429.0
27,1245.0,1014.0,366.0,1259.0,1032.0,294.0,1241.0,1022.0,438.0
28,1249.0,1028.0,356.0,1261.0,1045.0,284.0,1242.0,1032.0,436.0
29,1257.0,1039.0,369.0,1276.0,1061.0,291.0,1249.0,1047.0,433.0
34,1290.0,1070.0,366.0,1305.0,1078.0,302.0,1282.0,1073.0,429.0
35,1267.0,1054.0,368.0,1279.0,1069.0,296.0,1260.0,1057.0,429.0
66,1275.0,1076.0,364.0,1310.0,1090.0,314.0,1264.0,1075.0,411.0
74,1293.0,1112.0,357.0,1321.0,1121.0,312.0,1282.0,1110.0,400.0
75,1316.0,1107.0,360.0,1333.0,1126.0,321.0,1298.0,1102.0,405.0
76,1314.0,1096.0,357.0,1332.0,1113.0,318.0,1297.0,1090.0,401.0
77,1313.0,1129.0,351.0,1324.0,1141.0,313.0,1299.0,1126.0,387.0
78,1324.0,1134.0,356.0,1338.0,1144.0,321.0,1314.0,1132.0,396.0
79,1328.0,1123.0,358.0,1348.0,1129.0,319.0,1311.0,1119.0,396.0
80,1360.0,1105.0,360.0,1387.0,1122.0,326.0,1333.0,1101.0,403.0
81,1340.0,1121.0,357.0,1358.0,1128.0,320.0,1321.0,1111.0,392.0
82,1343.0,1102.0,356.0,1362.0,1116.0,320.0,1323.0,1092.0,400.0
83,1351.0,1085.0,360.0,1389.0,1097.0,333.0,1319.0,1079.0,404.0
84,1327.0,1101.0,358.0,1346.0,1113.0,317.0,1312.0,1096.0,397.0
85,1318.0,1074.0,355.0,1331.0,1086.0,308.0,1307.0,1068.0,409.0
86,1298.0,1057.0,365.0,1316.0,1065.0,308.0,1285.0,1058.0,424.0
87,1306.0,1046.0,365.0,1320.0,1064.0,301.0,1292.0,1044.0,418.0
88,1307.0,1062.0,362.0,1325.0,1073.0,307.0,1295.0,1059.0,418.0
89,1289.0,1038.0,368.0,1302.0,1048.0,297.0,1277.0,1041.0,433.0
90,1328.0,1033.0,373.0,1354.0,1049.0,322.0,1316.0,1034.0,431.0
91,1322.0,1059.0,366.0,1345.0,1072.0,315.0,1305.0,1056.0,419.0
92,1336.0,1067.0,372.0,1356.0,1081.0,322.0,1330.0,1063.0,421.0
93,1279.0,1061.0,357.0,1307.0,1071.0,303.0,1264.0,1063.0,424.0
