,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,volumes,lengths,surface areas
0,0,0,0,0,0,0,0.05742091497411682,3.132088397814797,1.952626173544376
1,1,1,1,1,1,1,0.049186268219754345,1.6630795200773405,1.8155722641961864
2,2,2,2,2,2,2,0.08462090963583536,1.95243145060306,2.750600152740033
3,3,3,3,3,3,3,0.15546103295399472,2.5822126809691244,3.835495593481492
4,4,4,4,4,4,4,0.07398935083045095,2.9554827893092748,2.396121372919212
5,5,5,5,5,5,5,0.10870083629926502,1.0241589765723826,2.8859747100973263
6,6,6,6,6,6,6,0.16146789283855092,2.1815530579540985,4.996020129524476
7,7,7,7,7,7,7,0.0507842095871023,1.8099036703588969,1.72424087159257
8,8,8,8,8,8,8,0.0730329187711624,1.2886648552933824,2.3615650419175003
9,9,9,9,9,9,9,0.06709020981741214,1.271776947299738,2.0445443528612457
10,10,10,10,10,10,10,0.07760513056678575,3.0170932481488006,2.24812793611698
11,11,11,11,11,11,11,0.06048266394440032,1.6398141320123023,2.1342401134759634
12,12,12,12,12,12,12,0.13465863566446856,3.6203240871329054,3.400325775917806
13,13,13,13,13,13,13,0.11106858883628426,1.2361715020141442,3.502719393378967
14,14,14,14,14,14,14,0.07414098030326499,2.8068038265961155,2.383670694333536
15,15,15,15,15,15,15,0.12433033580471221,3.29993092814531,3.8123920929688424
16,16,16,16,16,16,16,0.09774269093705036,2.5916790344957663,3.472377518653381
17,17,17,17,17,17,17,0.07134749886180633,1.90968480056586,2.325096169842638
18,18,18,18,18,18,18,0.07780924716480465,2.478125238508442,2.6617916386306053
19,19,19,19,19,19,19,0.09256396125017084,3.2305771933463965,2.9291904517744256
20,20,20,20,20,20,20,0.10507339275732915,2.574327570040135,2.6757199700233008
21,21,21,21,21,21,21,0.0700878078568897,2.007170995482631,2.163431829227562
22,22,22,22,22,22,22,0.10071112946252522,4.788556580724218,2.7110118220947537
23,23,23,23,23,23,23,0.08145418641514215,2.3002684784629754,2.346896992708821
24,24,24,24,24,24,24,0.08663874800482221,4.199864732294952,2.473763500854756
25,25,25,25,25,25,25,0.04082915150658053,1.5246254525789051,1.4553119841374116
26,26,26,26,26,26,26,0.06957460041044218,1.8806109356835337,2.0011383479736726
27,27,27,27,27,27,27,0.049711139471802945,1.325658339183858,1.990680278772131
28,28,28,28,28,28,28,0.05309364309611614,2.1914191731838057,1.6836068467292686
29,29,29,29,29,29,29,0.10007545205726637,1.5571294820986532,3.202774750732614
30,30,30,30,30,30,30,0.10229157512147156,1.7733799662318919,2.392102802100419
31,31,31,31,31,31,31,0.11300478056606354,1.0105265846764624,2.586534355182147
32,32,32,32,32,32,32,0.11667887933040373,0.928819671488422,2.8247725802119508
33,33,33,33,33,33,33,0.047296731712379386,2.350391174436881,1.5129574944603814
34,34,34,34,34,34,34,0.06825659037752013,1.4757426066060952,1.8706433450892823
35,35,35,35,35,35,35,0.057735837725345976,1.352143451130622,1.595604090009974
36,36,36,36,36,36,36,0.054370829809434404,1.436273278462976,1.5913710176677216
37,37,37,37,37,37,37,0.05898386492466154,1.1978295371895664,1.9557021574577544
38,38,38,38,38,38,38,0.08039278010544387,2.9066401891967533,2.129869649831013
39,39,39,39,39,39,39,0.22189223775494585,1.2742297811999834,4.7760265470260475
40,40,40,40,40,40,40,0.039126235888822844,1.94906669052149,1.3570057052837965
41,41,41,41,41,41,41,0.08748437391090051,1.2531942530828188,2.6396429537168054
42,42,42,42,42,42,42,0.13133445106816075,1.5139939170927763,3.436996182366931
43,43,43,43,43,43,43,0.05388678187698958,2.382417821047209,1.5589459690295517
44,44,44,44,44,44,44,0.04636945916709352,1.958105407106156,1.475541415900602
45,45,45,45,45,45,45,0.04835813802207766,2.94078283342448,1.5198526400085244
46,46,46,46,46,46,46,0.07263634938072568,1.8082301021376936,1.9716846438477882
47,47,47,47,47,47,47,0.10232073463547427,1.8918622676801733,2.6054537567755602
48,48,48,48,48,48,48,0.08185075580557886,1.389926089883973,2.1327181411251113
49,49,49,49,49,49,49,0.12421369774870142,1.7436863048390538,2.2017033750132486
50,50,50,50,50,50,50,0.0076456245715079375,0.5043653123772724,0.28523268128656143
51,51,51,51,51,51,51,0.037679923994288926,0.6036165750005498,1.0458986450912664
52,52,52,52,52,52,52,0.042421260971127944,1.2365655968837437,1.161050776251868
53,53,53,53,53,53,53,0.07551730936419243,2.6337686642334064,2.0122504949005564
54,54,54,54,54,54,54,0.03517803769285727,1.884671527260696,0.9956839289480669
55,55,55,55,55,55,55,0.02680342527128183,1.5149793352412235,0.8352013572371331
56,56,56,56,56,56,56,0.10671798934708142,2.3766224653984858,2.5379392948608457
